index,track_name,artist_name,album_name,points
96,LoveLee,AKMU,LoveLee,4873.0
44,ETA,NewJeans,NewJeans2ndEP'GetUp',4749.5
150,SuperShy,NewJeans,NewJeans'SuperShy',4729.5
56,Fry’sDream,AKMU,LoveLee,4653.6
51,FastForward,JEONSOMI,GAMEPLAN,4568.1
89,Let’sSayGoodbye,ParcJaeJung,Alone,4554.6
70,IAM,IVE,I'veIVE,4444.5
55,FlowerintheDesert-KorVersion,Woody,FlowerintheDesert,4307.9
124,Queencard,(G)I-DLE,Ifeel,4288.6
17,Bubble,STAYC,TEENFRESH,4073.5
140,"Smoke(Prod.Dynamicduo,Padi)","Dynamicduo,LeeYoungJi",StreetWomanFighter2(SWF2)ClassMission,4059.6000000000004
69,HypeBoy,NewJeans,NewJeans1stEP'NewJeans',4023.7
94,LoveAlwaysRunAway,LimYoungWoong,YoungLadyAndGentleman(OriginalTelevisionSoundtrack)Pt.2,3957.3999999999996
142,Spicy,aespa,MYWORLD-The3rdMiniAlbum,3882.8999999999996
60,GrainofSand,LimYoungWoong,GrainofSand,3782.1000000000004
45,"Eve,Psyche&TheBluebeard’swife",LESSERAFIM,UNFORGIVEN,3780.3
116,"OurBlues,OurLife",LimYoungWoong,IMHERO,3636.5
86,Kitsch,IVE,Kitsch,3632.7
37,Ditto,NewJeans,Ditto,3563.4
72,ILoveMyBody,HWASA,ILoveMyBody,3563.2
143,"StealTheShow-From""Elemental""",Lauv,"StealTheShow(From""Elemental"")",3557.3
78,IfWeEverMeetAgain,LimYoungWoong,IMHERO,3534.1
162,Trustinme,LimYoungWoong,Mr.TrotWINNERSONG,3444.9
126,Rainbow,LimYoungWoong,IMHERO,3422.5
108,NewJeans,NewJeans,NewJeans'SuperShy',3395.2
52,Father,LimYoungWoong,IMHERO,3254.5
133,Seven(feat.Latto)(CleanVer.),JungKook,Seven(feat.Latto),3247.2
91,LondonBoy,LimYoungWoong,Polaroid,3230.9
46,EventHorizon,Younha,YOUNHA6thAlbumRepackage'ENDTHEORY:FinalEdition',3162.0
121,Polaroid,LimYoungWoong,Polaroid,3114.1
21,CAKE,ITZY,KILLMYDOUBT,3075.0
3,APsalmofLife,LimYoungWoong,IMHERO,3007.7000000000003
5,Abientot,LimYoungWoong,IMHERO,3006.5
10,Attention,NewJeans,NewJeans1stEP'NewJeans',2921.5
7,AfterLIKE,IVE,AfterLIKE,2891.3
100,LovelyTouch,LimYoungWoong,IMHERO,2866.1
88,Let'sStayWell(MyloveXRoyKim),RoyKim,Let'sStayWell(MyloveXRoyKim),2826.3
144,StillWithYou,JungKook,StillWithYou,2797.3
73,ILoveYou,LimYoungWoong,IMHERO,2782.1
97,LoveLetter,LimYoungWoong,IMHERO,2707.3
111,OMG,NewJeans,NewJeans'OMG',2693.8
87,LOVEDIVE,IVE,LOVEDIVE,2669.9
98,LoveMeAgain,V,Layover,2492.8
71,IDon’tThinkThatILikeHer,CharliePuth,CHARLIE,2436.1
106,Nest,LimYoungWoong,IMHERO,2426.5
42,Dynamite,BTS,Dynamite(NightTimeVersion),2419.8
149,Super,SEVENTEEN,SEVENTEEN10thMiniAlbum'FML',2401.2
63,Heart,DK,Heart,2380.9
113,Onlyyou,Tophyun,Onlyyou,2370.3
48,Everymomentofyou너의모든순간,SungSiKyung,"MyLoveFromtheStar별에서온그대(OriginalTelevisionSoundtrack),Pt.7",2292.9
50,FLOWER,JISOO,ME,2139.3
92,"Love,Maybe",MeloMance,"Love,Maybe(ABusinessProposalOSTSpecialTrack)",2101.0
146,Summer(Feat.BE’O),PaulBlanco,Summer,2033.6
163,UNFORGIVEN(feat.NileRodgers),LESSERAFIM,UNFORGIVEN,2000.8
152,TakeTwo,BTS,TakeTwo,1935.2
153,TeddyBear,STAYC,TeddyBear,1926.0
130,RoseBlossom,H1-KEY,H1-KEY1stMiniAlbum[RoseBlossom],1918.8000000000002
27,CoolWithYou,NewJeans,NewJeans2ndEP'GetUp',1850.1999999999998
34,Dangerously,CharliePuth,NineTrackMind,1806.9
127,RainyDays,V,Layover,1705.6
19,Butter,BTS,Proof,1675.6000000000001
139,SlowDancing,V,Layover,1672.8
30,Crushonyou,Kassy,Crushonyou,1597.7
185,봄날,BTS,YouNeverWalkAlone,1527.2
14,BecauseIDon'tLoveYou,Onestar,BecauseIDon'tLoveYou,1504.8999999999999
24,ClickLike(Prod.Crush)(Feat.PaulBlanco),Crush,StreetWomanFighter2(SWF2)ClassMission,1476.0
41,DrunKenConfession,KimMinSeok,DrunKenConfession,1423.6
2,ANTIFRAGILE,LESSERAFIM,ANTIFRAGILE,1419.2
76,IWANT,IVE,IWANT,1405.5
11,BaggyJeans,NCTU,GoldenAge-The4thAlbum,1404.0
90,LikeCrazy,Jimin,FACE,1344.8
68,"HowcanIlovetheheartbreak,you'retheoneIlove",AKMU,SAILING,1276.5
169,Withyou,HuhGak,Withyou,1227.2
83,KIDDING,ISEGYEIDOL,KIDDING,1148.0
79,Ifyoulovinglycallmyname,"GyeongseoYeji,JeonGunho",Ifyoulovinglycallmyname(GyeongseoYejixJeonGunho),1100.4
95,LoveFool,J-Cera,LoveFool,1084.0
39,Dreamers[MusicfromtheFIFAWorldCupQatar2022OfficialSoundtrack],"JungKook,BTS",Dreamers[MusicfromtheFIFAWorldCupQatar2022OfficialSoundtrack],1082.4
147,Summer(Feat.BE’O),"PaulBlanco,BE'O",Summer,1076.5
178,meetyouamongthem,KIMHOJOONG,ThreesiblingsarebraveOSTPart.1,1061.3
131,STAY(withJustinBieber),"TheKidLAROI,JustinBieber",STAY(withJustinBieber),1056.8
164,UNFORGIVEN(feat.NileRodgers),"LESSERAFIM,NileRodgers",UNFORGIVEN,1055.3
118,PeoplePt.2(feat.IU),AgustD,PeoplePt.2(feat.IU),1016.8
28,CrazyLoveSong,"KimYeonji,DK",CrazyLoveSong,1013.2
115,OrdinaryConfession,LeeMujin,OrdinaryConfession,999.3
53,Fighting(Feat.LeeYoungJi),BSS,BSS1stSingleAlbum'SECONDWIND',984.0
135,Seven(feat.Latto)(ExplicitVer.),"JungKook,Latto",Seven(feat.Latto),883.2
25,ClickLike(Prod.Crush)(Feat.PaulBlanco),"Crush,PaulBlanco",StreetWomanFighter2(SWF2)ClassMission,872.8
31,Cupid-TwinVer.,FIFTYFIFTY,TheBeginning:Cupid,856.5
148,SummerComes,OHMYGIRL,GoldenHourglass,836.2
175,forloverswhohesitate,JANNABI,LEGEND,830.3
177,haeyo(2022),AnNyeong,haeyo(2022),803.7
165,Underwater,KWONEUNBI,Lethality,784.8000000000001
155,That'sHilarious,CharliePuth,CHARLIE,782.5
23,Candy,NCTDREAM,Candy-WinterSpecialMiniAlbum,718.9
75,ISTJ,NCTDREAM,ISTJ-The3rdAlbum,682.1
151,TOMBOY,(G)I-DLE,INEVERDIE,674.3
134,Seven(feat.Latto)(CleanVer.),"JungKook,Latto",Seven(feat.Latto),649.8
141,"Smoke(Prod.Dynamicduo,Padi)","Dynamicduo,LeeYoungJi,이영지",StreetWomanFighter2(SWF2)ClassMission,643.7
54,Fighting(Feat.LeeYoungJi),"BSS,LeeYoungJi",BSS1stSingleAlbum'SECONDWIND',637.6
4,ASAP,NewJeans,NewJeans2ndEP'GetUp',620.9
59,Gradation,10cm,5.3(Gradation),585.5
103,Monologue,Tei,Monologue,565.9
36,DearmyX,KyoungSeo,DearmyX,536.6
179,onthestreet(withJ.Cole),"j-hope,J.Cole",onthestreet(withJ.Cole),492.0
9,AtThatMoment,WSGWANNBE(Gaya-G),WSGWANNABE1stAlbum,479.0
15,BetterThings,aespa,BetterThings,463.7
47,"Everyday,EveryMoment",PaulKim,"ShouldWeKissFirst?(OriginalTelevisionSoundtrack),Pt.3",429.1
93,Love..Whatisit,Zia,Love..Whatisit,407.6
138,ShutDown,BLACKPINK,BORNPINK,384.40000000000003
33,Dandelion-singlever.,OOHYO,Dandelion,369.6
114,OortCloud,Younha,YOUNHA6thAlbum'ENDTHEORY',360.8
156,TheDrum,AlanWalker,TheDrum,331.2
166,WhenIGetOld,"Christopher,CHUNGHA",WhenIGetOld,312.8
0,120BPM,KyoungSeo,ONGOING,308.4
57,GetAGuitar,RIIZE,GetAGuitar,279.5
43,ELEVEN,IVE,ELEVEN,276.9
187,예뻤어,DAY6,SUNRISE,276.0
120,PinkVenom,BLACKPINK,BORNPINK,274.70000000000005
80,Ifyoulovinglycallmyname,"GyeongseoYeji,JeonGunho,전건호",Ifyoulovinglycallmyname(GyeongseoYejixJeonGunho),269.0
8,Allergy,(G)I-DLE,Ifeel,260.7
40,Dreamers[MusicfromtheFIFAWorldCupQatar2022OfficialSoundtrack],"JungKook,BTS,FIFASound",Dreamers[MusicfromtheFIFAWorldCupQatar2022OfficialSoundtrack],257.6
1,2002,Anne-Marie,SpeakYourMind(Deluxe),248.4
110,Nxde,(G)I-DLE,Ilove,241.6
157,ThePaintedOnTheMoonlight,MIYEON,"MyDearest(OriginalTelevisionSoundtrack),Pt.4",236.9
84,KNOCK,LEECHAEYEON,OverTheMoon,232.9
190,한페이지가될수있게,DAY6,TheBookofUs:Gravity,226.3
167,WhenIGetOld,"Christopher,CHUNGHA,청하",WhenIGetOld,225.7
145,Sugarcoat(NATTYSolo),KISSOFLIFE,KISSOFLIFE,220.1
38,Drama,IU,Pieces,213.0
82,InBloom,ZEROBASEONE,YOUTHINTHESHADE,196.8
29,CrazyLoveSong,"KimYeonji,DK,DK(디셈버)",CrazyLoveSong,196.1
102,Memories,RIIZE,Memories,179.8
180,seomyun,"SoonSoonHee,정승환",seomyun,172.8
67,HowToTwerk(Prod.Czaer),"MIYEON,YUQI,우기((여자)아이들)",StreetWomanFighter2(SWF2)ClassMission,170.5
35,DearMyLight,DAWN던,DearMyLight,161.8
137,ShinyStar(2020),KyoungSeo,ShinyStar(2020),158.4
159,ThroughtheNight,IU,Palette,150.1
112,OffMyFace,JustinBieber,Justice,147.2
189,착한사랑,김민종,애,144.2
183,나였으면,NaYoonKwon,중독,140.4
18,ButSometimes,BOYNEXTDOOR,WHY..,139.5
109,Newthing(Prod.ZICO)(Feat.Homies),"ZICO,HOMIES",StreetManFighterOriginalVol.3(MissionbyRank),139.20000000000002
77,IWillGoToYouLiketheFirstSnow,AILEE,"Guardian(OriginalTelevisionSoundtrack),Pt.9",133.2
26,Cookie,NewJeans,NewJeans1stEP'NewJeans',133.10000000000002
172,YogurtShake,NCTDREAM,ISTJ-The3rdAlbum,131.2
158,Thirsty,aespa,MYWORLD-The3rdMiniAlbum,127.1
132,STAY(withJustinBieber),"TheKidLAROI,JustinBieber,JustinBieber",STAY(withJustinBieber),121.3
125,RainandYou,LeeMujin,"HOSPITALPLAYLISTSeason2(OriginalTelevisionSoundtrack),Pt.1",119.6
182,アイドル,YOASOBI,アイドル,108.0
170,Withyou,"KimHojong,SongGaIn",Withyou,106.39999999999999
104,MyVoice,KIMHOJOONG,MyVoice,98.1
173,Youmayliveinhappiness(2022),ChoiYuree,Youmayliveinhappiness(2022),90.0
99,LoveMeLikeThis,NMIXX,expérgo,87.5
74,INVU,TAEYEON,INVU-The3rdAlbum,86.8
188,이것밖에는없다nothingbut,YoungK,Letterswithnotes,80.6
65,Heejae,LeeHongKi(FTISLAND),"Heejae,Delete",75.6
129,RollerCoaster,NMIXX,RollerCoaster,75.2
16,BeyondLove(Feat.10CM),"BIGNaughty,10cm",BeyondLove,71.3
85,Killin’MeGood,JIHYO,ZONE,64.8
49,FEARLESS,LESSERAFIM,FEARLESS,61.9
161,Trafficlight,LeeMujin,Trafficlight,61.2
128,ReadyorNot,CRAVITY,SUNSEEKER,52.7
168,WindAndWish,BTOB,WINDANDWISH,43.4
64,HeeJae,SungSiKyung,HeeJae(OriginalMotionPictureSoundtrack),42.9
176,good4u,OliviaRodrigo,SOUR,40.3
136,"Seven,(Prologue)-위로",LimJaeBeum,"Seven,(Prologue)-위로",37.2
62,Happiness,"HYB(HuhGak,ShinYongJae,Onestar)",Happiness,36.0
58,GoBack,MeloMance,GoBack,32.4
184,도깨비불(Illusion),aespa,Girls-The2ndMiniAlbum,31.0
160,Tomorrow,"Car,thegarden",Harmony,27.9
66,HowToTwerk(Prod.Czaer),"MIYEON,YUQI",StreetWomanFighter2(SWF2)ClassMission,27.6
12,BeautifulRestriction,NewJeans,ATimeCalledYou(OriginalSoundtrackfromtheNetflixSeries),25.2
61,HARD,SHINee,HARD-The8thAlbum,21.7
122,Poppy(KoreanVer.),STAYC,Poppy(KoreanVer.),21.6
22,CHRISTIAN,ZiorPark,WHEREDOESSASQUATCHLIVE?Pt.1,18.0
105,NIGHTDANCER,imase,NIGHTDANCER,14.4
107,NeverEndingStory,KimMinSeok,ATimeCalledYou(OriginalSoundtrackfromtheNetflixSeries),10.8
101,LovingYouGirl(feat.Hkeem),"PederElias,Hkeem",Love&Loneliness,9.2
6,Adoro,KIMHOJOONG,PANORAMA,6.1
186,애인이되어줄게요(prod.알고보니혼수상태),KIMHOJOONG,우리家,6.1
123,Promise,KIMHOJOONG,PANORAMA,6.1
13,Beautifullife,KIMHOJOONG,VitaDolce,6.1
117,PANORAMA,KIMHOJOONG,PANORAMA,6.1
119,Personwhoshines,KIMHOJOONG,Personwhoshines,6.1
174,Youngilmanfriend,"LimYoungWoong,YOUNGTAK,LeeChanwon,KIMHOJOONG,JeongDongWon,JangMinho,KimHeejae",LovecallcenterPART3,6.1
154,Thankyou,KIMHOJOONG,MusicsourceofMr.TrotFINALBEST,6.1
171,Withyou,"KimHojong,SongGaIn,송가인",Withyou,6.1
32,DINOSAUR,AKMU,SUMMEREPISODE,6.1
20,Butterfly(Outro),KIMHOJOONG,PANORAMA,6.1
81,IlMareCalmoDellaSera,KIMHOJOONG,PANORAMA,6.1
181,vampire,OliviaRodrigo,GUTS,3.6
